,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
180,-0.946,1.463,0.948,-0.6865,-1.073,-1.506,0.4863,0.03653
181,1.996,-1.312,0.5527,1.097,1.261,-1.734,0.4863,1.162
182,-0.7007,0.288,0.05878,-0.3638,-0.382,-0.6865,0.4863,-1.089
183,-0.7007,1.082,0.6514,-1.776,-0.382,0.05368,0.4863,-1.089
184,2.078,-0.1635,1.112,0.883,-0.2091,-1.972,0.4863,1.162
185,1.343,0.424,0.8164,-0.2654,0.7417,-0.0678,0.4863,1.162
186,0.6885,-0.0819,-0.00709,-0.7734,-0.8145,1.189,0.4863,-1.089
187,-0.782,1.469,1.014,-0.5386,1.952,0.04236,-2.05,-1.089
188,1.751,1.566,0.981,-1.07,-1.03,2.455,0.4863,-1.089
189,-0.946,0.2935,-0.8965,-1.911,-0.598,1.436,0.4863,0.03653
190,0.6885,-0.381,-0.1718,1.06,-0.728,-0.3474,0.4863,-1.089
191,-0.946,-1.088,-0.2705,0.686,0.6553,0.2937,0.4863,0.03653
192,1.996,-1.534,0.586,1.246,1.261,-1.867,-2.05,1.162
193,0.852,0.1575,-0.7974,-0.3887,-1.073,1.819,0.4863,1.162
194,0.3618,0.816,0.3882,0.7686,1.088,0.1752,0.4863,1.162
195,-0.3735,-1.91,-0.1059,-0.851,2.645,-0.633,-2.05,1.162
196,0.1167,-1.953,-0.8633,1.2,2.645,-1.107,-2.05,1.162
197,-0.6187,1.512,1.738,-1.881,0.915,1.294,-2.05,1.162
198,-0.946,-0.0819,-0.8633,0.954,0.3096,1.737,-2.05,0.03653
199,0.607,-1.143,0.7505,0.491,-0.4685,-0.7485,0.4863,-1.089
200,-0.946,-0.914,-0.7314,0.4746,1.779,0.7544,-2.05,0.03653
201,0.607,-0.1798,-1.028,-0.945,-0.4685,1.478,-2.05,-1.089
202,-1.027,-0.86,-1.522,1.446,-0.4685,-0.63,0.4863,-1.089
203,1.996,-1.312,0.3552,1.013,0.569,-0.87,0.4863,1.162
204,0.28,1.202,1.343,-1.326,-1.03,-0.1498,0.4863,-1.089
205,1.016,-0.713,-0.00709,0.7695,1.174,-0.7373,0.4863,1.162
206,-0.7007,1.333,0.1906,-0.6494,-1.073,-0.05652,0.4863,-1.089
207,-0.946,-0.4192,-0.4683,0.2255,-0.2091,-0.4604,0.4863,0.03653
208,2.16,0.1793,1.1455,-1.911,-1.073,2.46,0.4863,1.162
210,-0.946,-0.1635,0.454,0.2695,0.09344,-1.364,0.4863,0.03653
211,-0.7007,1.518,1.311,-0.6377,-1.073,-0.404,0.4863,-1.089
212,1.588,0.2336,1.179,0.7007,1.088,0.7485,0.4863,1.162
213,-0.7007,1.719,1.475,-1.695,-0.03622,-0.4124,0.4863,-1.089
214,1.669,-1.225,1.08,0.3853,1.261,-1.187,-2.05,-1.089
215,0.607,-0.713,-0.00709,1.206,-0.728,-0.2996,0.4863,-1.089
216,-0.782,-0.4302,0.454,0.8613,1.088,-1.054,-2.05,-1.089
217,1.751,1.958,0.8164,-0.5547,-1.03,2.707,0.4863,-1.089
218,2.322,1.496,1.771,-1.911,-0.1227,0.3984,0.4863,1.162
219,0.607,0.02693,0.8164,-1.911,-0.382,-0.274,0.4863,-1.089
220,-0.946,0.3914,0.4211,0.556,-0.944,-0.653,0.4863,0.03653
221,-0.782,0.6636,-0.534,0.555,-0.2957,0.4124,0.4863,-1.089
222,0.607,-0.2832,0.454,0.7383,-0.728,-0.10455,0.4863,-1.089
223,2.404,0.386,0.586,-0.7065,-1.073,2.582,0.4863,1.162
224,2.078,-0.6094,-1.522,0.821,-0.728,-0.2712,0.4863,1.162
225,0.1167,-1.638,0.2893,0.9883,2.47,-1.291,-2.05,1.162
226,-0.7007,1.001,0.1576,-1.414,-0.382,0.3052,0.4863,-1.089
227,0.1984,0.2827,-0.04004,0.7124,0.7417,-0.3108,0.4863,1.162
228,-0.946,-1.442,1.508,-1.738,-0.6416,-1.017,-2.05,0.03653
229,-0.782,-1.312,0.5527,1.079,1.261,-1.568,-2.05,-1.089
230,2.486,1.441,0.8164,-0.6553,-0.4685,-0.1384,0.4863,1.162
231,0.6885,-1.115,-0.666,-1.349,-0.8145,0.7656,0.4863,-1.089
232,-0.04675,0.4622,-1.753,0.5884,-0.9873,0.7485,0.4863,1.162
233,1.506,0.02148,-1.456,0.776,-0.2957,0.2429,0.4863,1.162
234,-0.3735,-1.926,-0.6987,1.087,2.645,-0.7036,-2.05,1.162
235,0.1167,-1.932,-0.2377,-0.6533,2.645,-1.076,-2.05,1.162
236,1.588,-0.789,0.586,-0.508,1.952,-0.3616,-2.05,1.162
237,0.607,-0.566,-0.00709,-1.065,1.693,-0.2656,-2.05,-1.089
238,0.28,-1.366,0.02585,1.044,-0.555,-1.113,0.4863,-1.089
239,0.607,1.414,0.6846,-0.5938,-1.073,-0.0904,0.4863,-1.089
240,1.016,-1.007,0.09174,0.912,1.174,-0.9126,0.4863,1.162
241,0.607,1.012,0.1906,-1.892,-0.382,0.1356,0.4863,-1.089
242,1.343,-0.8325,-0.2377,0.8286,1.779,0.322,-2.05,1.162
243,-0.946,0.4785,0.783,-1.75,-0.1659,-0.1243,0.4863,0.03653
244,-0.782,0.1031,0.3552,0.5947,1.088,-0.6924,0.4863,-1.089
245,-0.864,-0.517,-0.8306,0.7256,-0.555,0.8926,0.4863,1.162
246,-0.946,0.065,1.047,-1.911,-1.03,-0.13,0.4863,0.03653
247,-0.946,-0.9414,-0.8965,0.319,-0.382,0.5903,0.4863,0.03653
248,-0.3735,-0.04922,-1.917,0.957,-0.2957,0.3108,0.4863,1.162
249,0.607,-1.214,0.3552,0.9204,-0.4685,-0.9014,0.4863,-1.089
250,2.404,0.1956,1.277,-1.082,-1.073,2.133,0.4863,1.162
251,0.03494,1.436,0.783,-0.6147,-0.4685,0.3616,0.4863,1.162
252,-0.537,0.359,0.3882,0.507,-0.4685,-8.34e-06,0.4863,1.162
253,1.588,-0.882,0.2893,0.9165,1.088,0.1412,0.4863,1.162
254,-0.782,-0.0438,-1.885,1.253,-0.2957,0.2345,-2.05,-1.089
255,0.607,0.3098,0.12463,0.5947,-0.4685,-0.2683,0.4863,-1.089
256,0.7705,0.941,-0.3364,-0.1276,0.3096,-1.624,0.4863,-1.089
257,1.016,-0.947,-1.423,1.135,-0.728,-0.5,0.4863,1.162
258,2.486,0.4622,-1.753,0.8403,-0.2957,0.4634,0.4863,1.162
259,0.1984,0.1031,-1.127,0.8267,0.7417,-0.3079,0.4863,1.162
260,-0.7007,0.09766,-1.16,-1.543,-1.073,-0.322,0.4863,-1.089
261,-0.946,0.201,1.311,-0.997,-0.4685,0.876,0.4863,0.03653
262,1.506,0.261,-0.2047,0.6924,-0.4685,-0.325,0.4863,1.162
263,0.607,-1.366,0.8823,1.086,-0.4685,-1.006,0.4863,-1.089
264,0.607,-1.382,0.783,0.603,-0.4685,-0.8813,0.4863,-1.089
265,1.343,-1.126,-0.7314,-1.878,1.779,1.015,-2.05,1.162
266,1.996,1.577,1.673,-1.267,-0.4685,0.6187,0.4863,1.162
267,-0.7007,0.8975,-0.501,-1.911,-0.382,0.37,0.4863,-1.089
268,1.506,1.338,0.2235,-0.6265,-0.4685,0.002817,0.4863,1.162
269,-0.946,1.42,0.4211,-0.2102,-1.073,2.27,0.4863,0.03653
270,0.6885,-0.7075,-1.391,0.458,-0.1227,0.989,0.4863,-1.089
271,-0.946,-1.138,0.783,-1.911,-0.4685,-1.348,0.4863,0.03653
272,-0.946,0.4023,1.014,-1.698,-1.03,-0.5737,-2.05,0.03653
273,-0.3735,1.441,0.8164,-1.204,-0.4685,2.125,0.4863,1.162
274,-0.537,-0.4192,-1.555,0.8135,-0.2957,-0.1638,0.4863,1.162
275,1.914,-0.947,0.454,0.4846,1.174,-0.144,0.4863,1.162
276,-0.946,2.572,0.05878,-0.1146,-0.3389,0.7007,0.4863,0.03653
277,-0.7007,0.07043,1.047,-1.911,-0.382,-0.2091,0.4863,-1.089
278,-0.537,-0.7617,0.02585,-0.6587,2.299,0.178,-2.05,1.162
280,-0.946,-0.3975,-0.8965,-1.911,-0.598,1.271,0.4863,0.03653
281,-0.1285,-0.4246,-1.588,0.7373,-0.2957,-0.03955,0.4863,1.162
282,2.486,0.4622,-1.753,0.7705,-0.2957,0.5566,0.4863,1.162
283,-0.782,0.5493,-1.259,0.6333,-0.2957,0.469,0.4863,-1.089
284,-0.946,-0.6475,-0.4353,0.07745,-0.4685,0.002817,0.4863,0.03653
285,1.996,0.397,0.6514,-0.1901,-0.4685,1.006,0.4863,1.162
286,1.016,1.463,1.014,0.1317,1.174,-0.01131,0.4863,1.162
287,0.03494,0.3098,-1.654,0.2153,0.05023,-0.4321,0.4863,1.162
288,-0.537,0.163,-0.7646,-0.372,1.952,1.864,0.4863,1.162
289,-0.04675,-0.479,-1.917,0.8936,-0.9873,0.1554,0.4863,1.162
290,-0.3735,0.07587,0.52,-0.938,-0.4685,0.9634,0.4863,1.162
291,1.179,-0.5933,0.7173,0.7354,1.174,0.0932,0.4863,1.162
292,0.6885,-1.094,-0.4353,1.211,-0.728,-0.797,0.4863,-1.089
293,-0.946,0.2173,1.376,-1.536,-0.4685,-8.34e-06,0.4863,0.03653
294,-0.946,-0.947,-0.929,0.8975,-0.8145,-2.215,0.4863,0.03653
295,-0.782,1.501,1.212,-1.092,-0.4685,2.418,0.4863,-1.089
296,-0.782,0.0868,-1.259,0.758,-0.4685,-0.3135,0.4863,-1.089
297,-0.782,-1.1045,-1.885,0.6206,0.05023,0.918,0.4863,-1.089
298,0.9336,0.010605,-1.555,0.8135,-0.9873,-0.1017,0.4863,1.162
299,-0.946,-1.001,0.02585,-1.255,1.779,0.932,0.4863,0.03653
300,1.506,-0.37,-1.292,0.683,-0.2957,0.0367,0.4863,1.162
301,-0.537,0.1085,-1.094,0.812,-0.4685,-0.3333,0.4863,1.162
302,-0.782,0.5547,-1.226,0.687,-0.2957,0.3503,0.4863,-1.089
303,2.486,0.201,-0.534,0.7266,-0.4685,-0.1978,0.4863,1.162
304,0.7705,0.7666,-0.1059,-0.3352,0.3096,-1.652,0.4863,-1.089
305,-0.946,-0.4028,-0.4023,-1.911,1.649,-0.3276,-2.05,0.03653
306,1.098,1.371,0.454,0.38,-1.203,-1.015,0.4863,1.162
307,0.6885,-1.1045,-1.917,0.5728,-0.8145,0.856,0.4863,-1.089
308,-0.1285,-0.02203,-1.753,0.9277,-0.2957,0.1836,0.4863,1.162
309,-0.7007,-0.02203,-1.753,0.8706,-0.9873,0.2515,0.4863,-1.089
310,2.486,0.05414,-1.259,0.806,-0.2957,0.005642,0.4863,1.162
311,0.7705,0.582,-1.028,0.3467,-0.9873,0.2937,0.4863,-1.089
312,-0.782,0.348,0.4868,0.5234,-0.2957,-0.3022,0.4863,-1.089
313,0.852,1.447,0.849,-1.111,-1.073,2.197,0.4863,1.162
314,0.28,-0.876,0.8823,1.001,-0.728,-0.1808,0.4863,-1.089
315,-0.782,0.299,0.02585,0.727,-0.4685,-0.3984,0.4863,-1.089
316,-0.946,-1.366,1.047,-0.942,-0.555,-0.05933,-2.05,0.03653
317,-0.946,-0.0166,-0.3035,0.03424,-0.4685,0.3306,0.4863,0.03653
318,1.343,-0.887,0.7173,-0.8086,1.779,0.9097,0.4863,1.162
319,1.098,-1.05,-1.555,0.867,-1.247,-1.303,0.4863,1.162
320,-1.027,0.2554,-0.2047,0.753,-1.073,-0.7485,0.4863,-1.089
321,-0.3735,0.4675,-1.72,0.6997,-0.2957,0.6978,0.4863,1.162
322,-0.946,2.883,1.969,-0.54,-0.3389,0.7036,0.4863,0.03653
323,2.486,0.288,-0.00709,0.5977,-0.4685,-0.3616,0.4863,1.162
324,-0.946,-1.316,0.3223,0.3064,-0.555,-0.2487,-2.05,0.03653
325,-0.946,-1.404,-0.7974,1.208,0.2231,0.288,0.4863,0.03653
326,-0.7007,0.05414,0.948,-1.571,-0.382,-0.2063,0.4863,-1.089
327,-0.946,0.7124,0.8164,0.1602,-0.8145,1.67,0.4863,0.03653
328,-0.946,-0.343,1.343,-0.844,-1.117,-0.777,0.4863,0.03653
329,0.03494,1.082,-0.8306,-0.8306,0.05023,-0.12146,0.4863,1.162
330,-1.027,0.424,1.014,-1.246,-0.1227,-0.1978,0.4863,-1.089
331,-0.782,1.349,0.2563,-0.6484,-0.4685,0.0876,0.4863,-1.089
332,-0.7007,0.0487,0.948,-1.911,-0.382,-0.26,0.4863,-1.089
333,1.996,-1.752,0.4868,1.565,1.261,-1.961,-2.05,1.162
334,-0.1285,0.511,-1.456,0.5635,-0.2957,0.4944,0.4863,1.162
335,1.506,0.5166,-1.423,0.6226,-0.2957,0.6836,0.4863,1.162
336,-0.946,0.506,1.343,-1.015,-0.728,0.1328,0.4863,0.03653
337,-0.864,-0.2668,0.6846,0.5664,-0.555,-0.11304,0.4863,1.162
338,-0.782,-0.4355,-0.3035,0.3503,0.569,0.178,0.4863,-1.089
