,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
218,-1.072,-0.822,0.7505,-1.911,-0.03622,-0.0735,0.4863,-0.03653
219,2.412,-0.04922,-1.885,0.96,-0.9873,0.3926,0.4863,-1.162
220,-0.3389,0.3098,0.12463,0.4663,-1.073,-0.10455,0.4863,1.089
221,0.02786,-1.562,-0.2705,0.9854,2.645,-0.941,-2.05,-1.162
222,2.32,-0.04922,-0.2047,-1.911,-1.073,1.766,0.4863,-1.162
223,-0.4307,-0.4302,-1.654,0.735,-0.2957,-0.1638,0.4863,1.089
224,1.678,0.397,0.6514,-0.1901,-0.4685,1.006,0.4863,-1.162
226,2.412,0.4622,-1.753,0.5884,-0.9873,0.7485,0.4863,-1.162
228,1.22,1.512,1.277,-1.235,-0.4685,1.754,0.4863,-1.162
229,-1.072,0.11945,0.1576,1.522,-0.944,-0.8643,0.4863,-0.03653
230,1.678,-1.752,0.4868,1.565,1.261,-1.961,-2.05,-1.162
231,-0.2472,-0.4192,-1.555,0.7354,-0.2957,-0.0763,0.4863,-1.162
232,0.578,-0.316,0.2235,0.8174,1.174,-0.3474,0.4863,-1.162
233,-0.2472,-0.005714,-1.621,0.7964,-0.2957,0.0734,0.4863,-1.162
234,-1.072,1.463,0.948,-0.6865,-1.073,-1.506,0.4863,-0.03653
235,-0.3389,0.0487,0.948,-1.911,-0.382,-0.26,0.4863,1.089
236,-0.4307,-1.61,0.12463,1.453,1.261,-1.602,-2.05,1.089
237,-1.072,-1.252,0.3552,-1.911,-0.03622,-0.2458,0.4863,-0.03653
238,-0.4307,0.1031,-0.2377,0.992,0.569,0.466,0.4863,1.089
239,-1.072,0.8105,-0.00709,-1.332,0.1367,0.421,0.4863,-0.03653
240,2.229,-0.9087,0.6846,0.6255,1.174,-0.144,0.4863,-1.162
241,1.22,-1.926,-0.6987,1.087,2.645,-0.7036,-2.05,-1.162
242,-1.072,-0.08734,0.783,-1.862,-0.2524,-0.585,0.4863,-0.03653
243,1.861,0.010605,-1.555,0.8135,-0.9873,-0.1017,0.4863,-1.162
244,0.11957,-0.517,-0.8306,0.7256,-0.555,0.8926,0.4863,-1.162
245,-0.5225,1.131,0.6514,-0.3877,-0.6416,2.0,0.4863,1.089
246,0.11957,0.07587,-0.4023,0.9644,-0.555,1.215,0.4863,-1.162
247,0.3945,-1.839,0.1576,0.8745,-0.3389,-0.7715,0.4863,1.089
248,-0.06384,1.436,0.783,-0.6147,-0.4685,0.3616,0.4863,-1.162
249,-0.3389,1.001,0.1576,-1.414,-0.382,0.3052,0.4863,1.089
250,-0.2472,0.1412,0.948,-0.4695,-0.4685,0.01129,0.4863,-1.162
251,-0.4307,-1.1045,-1.885,0.6206,0.05023,0.918,0.4863,1.089
252,-0.4307,0.25,-0.2377,0.8843,1.952,-0.3164,-2.05,1.089
253,0.578,1.463,1.014,0.1317,1.174,-0.01131,0.4863,-1.162
254,-1.072,-1.176,0.586,0.8833,-1.073,-1.3,0.4863,-0.03653
255,0.2112,0.3098,0.12463,0.5947,-0.4685,-0.2683,0.4863,1.089
256,-0.4307,0.1031,-0.2377,-0.0641,0.396,-0.2063,0.4863,1.089
257,0.853,1.371,0.3882,-0.508,-0.4685,0.1271,-2.05,-1.162
258,-0.3389,0.435,-1.917,0.806,-0.9873,0.6553,0.4863,1.089
259,-1.072,-1.088,-0.2705,0.686,0.6553,0.2937,0.4863,-0.03653
260,-0.7056,0.11945,0.783,-0.747,0.7417,0.02824,0.4863,-1.162
261,1.495,-0.02203,-1.753,0.9277,-0.2957,0.1836,0.4863,-1.162
262,0.2112,0.3044,0.1576,-0.7544,-0.382,-0.11584,-2.05,1.089
263,-1.072,0.2827,0.02585,-0.864,-1.03,0.1412,0.4863,-0.03653
264,-1.072,0.506,1.343,-1.015,-0.728,0.1328,0.4863,-0.03653
265,-0.889,-1.115,-0.666,-1.349,-0.8145,0.7656,0.4863,1.089
266,0.2112,0.0868,1.1455,-1.911,-0.382,0.048,0.4863,1.089
267,1.861,0.4893,-1.588,0.662,-0.9873,0.339,0.4863,-1.162
268,-0.3389,0.3044,0.09174,0.5923,-0.4685,-0.2515,0.4863,1.089
269,-1.072,1.996,0.586,-1.907,0.1367,0.9434,0.4863,-0.03653
270,-1.072,-1.333,0.3882,0.901,-0.2091,-0.6895,0.4863,-0.03653
271,1.77,0.05414,-1.259,0.806,-0.2957,0.005642,0.4863,-1.162
272,-0.4307,-0.3213,-0.9624,1.199,-0.2957,-0.161,-2.05,1.089
273,1.495,0.511,-1.456,0.5635,-0.2957,0.4944,0.4863,-1.162
274,0.2112,0.07587,-1.127,0.782,-0.9873,0.2147,0.4863,1.089
275,1.861,0.1085,-1.094,0.73,-1.073,-0.3418,0.4863,-1.162
276,0.2112,-1.485,1.212,-1.606,0.396,-1.212,0.4863,1.089
277,-0.4307,0.348,0.4868,0.5234,-0.2957,-0.3022,0.4863,1.089
278,0.2112,1.012,0.1906,-1.892,-0.382,0.1356,0.4863,1.089
